full_name,project_id,project_number,project_title,closed,public,items_total
ita-social-projects/OoS-Backend,PVT_kwDOANAxGM4Am76r,50,OoS,False,True,228
eric-volz/DefichainPython,PVT_kwHOBC0Svc4ATl-t,5,DefichainPython,False,True,25
haroohie-club/SerialLoops,PVT_kwDOBfIXGM4AOPmb,1,Serial Loops,False,True,52
UAlbanyArchives/mailbagit,PVT_kwDOAMQYDM4AmnrP,4,Mailbag tool development,False,True,144
application-stacks/runtime-component-operator,PVT_kwDOA57yf84AKzXB,1,RCO Backlog,False,True,11
sourceplusplus/sourceplusplus,PVT_kwDOAu2wvs4AEQkP,4,Source++ Roadmap,False,True,191
datacoon/undatum,PVT_kwDOADGGjs4ACjNP,1,undatum backlog,False,True,19
linkarkitektur/SpeckleLCA,PVT_kwDOA98LPc4A2zH0,8,SpeckLCA 2.x,False,True,71
Legacy-Fabric/fabric,PVT_kwDOA71Jjc4AhZ0c,1,Legacy Fabric API,False,True,54
AdelKS/ZeGrapher,PVT_kwHOAM-ZYc4AjJvs,1,ZeGrapher Planning,False,True,32
gameknife/gkNextEngine,PVT_kwHOACCejc4AtOVo,2,gkNextRenderer,False,True,31
gameknife/gkNextEngine,PVT_kwHOACCejc4AtOUB,1,MagicaLego,False,True,0
InkCanvasForClass/community,PVT_kwDODPaXvc4BE0g_,2,ICC CE 1.8,False,True,23
InkCanvasForClass/community,PVT_kwDODPaXvc4A9kwJ,1,ICC CE 2.0,False,True,0
Night-stars-1/Auto_Resonance,PVT_kwHOBeqa6M4AfwF8,3,@Night-stars-1's 黑月无人驾驶开发计划,False,True,7
cashubtc/cashu-ts,PVT_kwDOBs9DwM4BMZoJ,19,cashu-ts,False,True,105
tritonmc/Triton,PVT_kwDOA9LoYs4AEcNp,2,Triton,False,True,376
status-im/status-web,PVT_kwDOALOQjs4ASnTp,94,Web & User Interfaces,False,True,736
microsoft/PowerApps-TestEngine,PVT_kwDOAF3p4s4AiegR,1243,Power Apps Test Engine,False,True,187
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOg,8,Combat Replay,False,True,74
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOf,7,GW2EIBuilders,False,True,109
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOZ,2,GW2EIDiscord,False,True,5
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOd,6,GW2EIDPSReport,False,True,9
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOb,4,GW2EIEvtcParser,False,True,142
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOa,3,GW2EIGW2API,False,True,8
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOc,5,GW2EIParser,False,True,31
baaron4/GW2-Elite-Insights-Parser,PVT_kwHOAdQb784AiKOS,1,GW2EIWingman,False,True,4
LaughingZhu/DevNow,PVT_kwHOATM0G84Anhbz,2,DevNow,False,True,3
ecamp/ecamp3,PVT_kwDOAAbcLc4APZiP,6,Development Kanban,False,True,105
ecamp/ecamp3,PVT_kwDOAAbcLc4AGQRc,2,Hackaton 5,True,True,6
ecamp/ecamp3,PVT_kwDOAAbcLc4Amz5j,7,Release,False,True,7
ecamp/ecamp3,PVT_kwDOAAbcLc4AGQSi,3,v3 Epics,False,True,27
OpenGamingCollective/ScopeBuddy,PVT_kwDODvAwks4BOVgj,16,ScopeBuddy Development,False,True,9
PyMoDAQ/PyMoDAQ,PVT_kwDOAjdDG84AG0J5,1,PyMoDAQ Roadmap,False,True,24
ZcashFoundation/frost,PVT_kwDOAY9hw84AUfJd,14,FROST,True,True,330
SCRT-HQ/PSGSuite,PVT_kwDOAel53s4Ay670,1,PSGSuite - Release Planning,False,True,84
talsec/Free-RASP-Flutter,PVT_kwDOBR9hpM4AjbHP,2,freeRASP,False,True,11
al2na/methylKit,PVT_kwHOAAm9Ec4AmijM,1,Increase Test Code Coverage,False,True,0
al2na/methylKit,PVT_kwHOAAm9Ec4Amijd,3,Issue Tracker,False,True,17
al2na/methylKit,PVT_kwHOAAm9Ec4AmijV,2,Reduce Code Duplication,False,True,0
cerberauth/vulnapi,PVT_kwDOB5I3ls4AVsuc,2,VulnAPI,False,True,66
Wanxp/obsidian-douban,PVT_kwHOAZmO6s4ACZe2,1,Obsidian Douban,False,True,14
TheCoder4eu/BootsFaces-OSP,PVT_kwHOAFf6JM4Am4lm,1,BootsFaces 1.6.0,False,True,6
foodcoops/foodsoft,PVT_kwDOAEUFH84AzDn8,5,Foodsoft 2025,False,True,14
foodcoops/foodsoft,PVT_kwDOAEUFH84AM2Fw,1,Foodsoft roadmap,False,True,90
knative/func,PVT_kwDOAh71Ac4AG4V1,49,Functions,False,True,124
stefanhendriks/Dune-II---The-Maker,PVT_kwHOABRTYs4AiMQD,1,D2TM,False,True,504
apache/incubator-graphar,PVT_kwDNuP_OAIfE5Q,359,Apache GraphAr (Incubating) backlog,False,True,22
italia/bootstrap-italia,PVT_kwDOAOqloM4AMof6,17,Design system .italia 🇮‍🇹,False,True,859
bids-standard/bids-specification,PVT_kwDOApDNXc4A7UD6,19,BEP Status Dashboard,False,True,48
bids-standard/bids-specification,PVT_kwDOApDNXc4Ai-3d,15,Conversion to schema,False,True,33
Moo-Ack-Productions/MCprep,PVT_kwDOCET9c84ASeoC,1,MCprep Dev Team,False,True,61
kubernetes-sigs/cluster-api-provider-openstack,PVT_kwDOAiWMY84APvRg,38,CAPO Roadmap,False,True,822
kitajs/kitajs,PVT_kwDOBpqPzs4ALfK6,1,Kita development,False,True,61
microsoft/Power-CAT-Copilot-Studio-Kit,PVT_kwDOAF3p4s4AgsSF,1178,Copilot Studio Accelerator,False,True,326
dxos/dxos,PVT_kwDOA2iKZc4AMmI-,19,2023-Q2-Milestones (Protocols),True,True,14
