full_name,owner_login,repository_name,stars,forks,primary_language,issues_total_initial,pull_requests_total_initial,releases_total_initial,contributors_count,issues_collected,prs_collected,releases_collected,projects_v2_count,projects_v2_items_total
viatra/massif,viatra,massif,20,14,Java,145,78,4,14,145,78,4,0,0
WildcardSearch/Advanced-Sidebox,WildcardSearch,Advanced-Sidebox,20,10,PHP,344,58,28,7,344,58,28,0,0
AnyBlok/AnyBlok,AnyBlok,AnyBlok,20,13,Python,85,165,15,20,85,165,15,0,0
ploigos/ploigos-step-runner,ploigos,ploigos-step-runner,20,65,Python,48,262,16,32,48,262,16,0,0
maciejmaciejewski/azure-pipelines-cucumber,maciejmaciejewski,azure-pipelines-cucumber,20,24,TypeScript,84,32,9,11,84,32,9,0,0
pnkraemer/tornadox,pnkraemer,tornadox,20,1,Python,39,101,2,5,39,101,2,0,0
ita-social-projects/OoS-Backend,ita-social-projects,OoS-Backend,20,9,C#,728,1318,182,70,728,1318,182,1,228
RhetTbull/guitk,RhetTbull,guitk,20,1,Python,39,14,8,3,39,14,8,0,0
decentraland/atlas-server,decentraland,atlas-server,20,13,TypeScript,21,112,30,13,21,112,30,0,0
appswithlove/loco-android,appswithlove,loco-android,20,9,Kotlin,18,35,25,14,18,35,25,0,0
mattermost-community/mattermost-plugin-aws-SNS,mattermost-community,mattermost-plugin-aws-SNS,20,21,Go,32,65,7,26,32,65,7,0,0
ojvribeiro/vulmix,ojvribeiro,vulmix,20,0,JavaScript,87,227,12,2,87,227,12,0,0
pkshetlie/RagnaCustomsApp,pkshetlie,RagnaCustomsApp,20,17,C#,22,31,2,10,22,31,2,0,0
eric-volz/DefichainPython,eric-volz,DefichainPython,20,2,Python,35,96,20,3,35,96,20,1,25
haroohie-club/SerialLoops,haroohie-club,SerialLoops,20,4,C#,255,316,74,6,255,316,74,1,52
jupyter/jupyter_events,jupyter,jupyter_events,20,22,Python,16,101,15,25,16,101,15,0,0
Apollon77/ioBroker.homekit-controller,Apollon77,ioBroker.homekit-controller,20,9,TypeScript,87,384,16,18,88,385,16,0,0
4paradigm/FeatInsight,4paradigm,FeatInsight,20,9,Vue,33,48,2,8,33,48,2,0,0
FriendsOfREDAXO/diff_detect,FriendsOfREDAXO,diff_detect,20,0,PHP,15,32,14,6,15,32,14,0,0
nextcloud/docker-socket-proxy,nextcloud,docker-socket-proxy,20,5,Python,16,35,14,7,16,35,14,0,0
spsanderson/healthyR.ts,spsanderson,healthyR.ts,20,3,R,193,355,25,5,193,355,25,0,0
