full_name,primary_language,contributors_count,prs_collected,releases_collected,pr_lead_time_count,pr_lead_time_mean_days,pr_lead_time_std_days,pr_lead_time_median_days,pr_lead_time_p90_days,pr_lead_time_cv,pr_lead_time_min_days,pr_lead_time_max_days,monthly_throughput_prs_months_count,monthly_throughput_prs_mean,monthly_throughput_prs_std,monthly_throughput_prs_median,monthly_throughput_prs_p90,monthly_throughput_prs_cv,monthly_throughput_prs_min,monthly_throughput_prs_max,release_interval_count,release_interval_mean_days,release_interval_std_days,release_interval_median_days,release_interval_p90_days,release_interval_cv,release_interval_min_days,release_interval_max_days,pr_review_time_count,pr_review_time_mean_days,pr_review_time_std_days,pr_review_time_median_days,pr_review_time_p90_days,pr_review_time_cv,pr_review_time_min_days,pr_review_time_max_days
viatra/massif,Java,14,78,4,62,7.3033,26.7185,0.3117,7.4307,3.658399,0.0002,185.8171,21,2.9524,3.3449,2,6.0,1.132943,1,13,3,482.5884,224.6298,462.8109,706.2083,0.465469,217.8968,767.0577,62,7.3033,26.7185,0.3117,7.4307,3.658399,0.0002,185.8171
WildcardSearch/Advanced-Sidebox,PHP,7,58,28,46,0.1695,0.4583,0.0005,0.5939,2.703913,0.0001,2.5288,25,1.84,1.0072,1,3.0,0.547377,1,4,27,73.9915,134.2492,25.9841,211.3425,1.814386,0.0003,658.9619,46,0.1695,0.4583,0.0005,0.5939,2.703913,0.0001,2.5288
AnyBlok/AnyBlok,Python,20,165,15,146,24.876,110.1831,0.7625,26.9302,4.429301,0.0003,858.7228,39,3.7436,2.7801,3,7.0,0.742638,1,13,14,37.8613,61.3181,14.5242,74.7154,1.619545,0.0415,240.9509,146,24.876,110.1831,0.7625,26.9302,4.429301,0.0003,858.7228
ploigos/ploigos-step-runner,Python,32,262,16,227,2.4011,5.8638,0.5187,6.478,2.442097,0.0004,50.2272,30,7.5667,6.3439,5.5,18.0,0.838406,1,22,15,28.4609,44.0427,12.8418,54.4883,1.547481,0.3175,180.7301,227,2.4011,5.8638,0.5187,6.478,2.442097,0.0004,50.2272
maciejmaciejewski/azure-pipelines-cucumber,TypeScript,11,32,9,27,21.372,40.57,0.0819,85.9486,1.898273,0.0001,155.8141,15,1.8,1.0456,2,2.6,0.580903,1,5,8,247.3934,301.9314,68.5974,652.2519,1.220451,1.1202,875.0635,27,21.372,40.57,0.0819,85.9486,1.898273,0.0001,155.8141
pnkraemer/tornadox,Python,5,101,2,98,2.8005,15.1358,0.102,2.1616,5.404613,0.0009,129.8061,9,10.8889,16.1069,3,27.4,1.479205,1,53,1,222.9463,0.0,222.9463,222.9463,0.0,222.9463,222.9463,98,2.8005,15.1358,0.102,2.1616,5.404613,0.0009,129.8061
ita-social-projects/OoS-Backend,C#,70,1318,182,1186,5.7702,16.6096,1.3425,14.1153,2.878498,0.0001,407.9451,60,19.7667,10.6087,18.5,35.0,0.536699,4,51,181,4.4415,20.4304,1.1441,6.725,4.599923,0.003,266.4103,1186,5.7702,16.6096,1.3425,14.1153,2.878498,0.0001,407.9451
RhetTbull/guitk,Python,3,14,8,14,2.1207,6.889,0.0001,2.0102,3.248468,0.0001,26.8165,5,2.8,2.6382,2,5.6,0.942208,1,8,7,71.2585,133.15,6.9808,190.3054,1.868548,0.0867,393.4065,14,2.1207,6.889,0.0001,2.0102,3.248468,0.0001,26.8165
decentraland/atlas-server,TypeScript,13,112,30,87,1.5238,4.5397,0.0152,3.292,2.979262,0.0001,26.8444,32,2.7188,2.5768,2.0,5.0,0.947771,1,13,29,37.1776,67.0294,6.0719,90.4153,1.80295,0.0176,273.4026,87,1.5238,4.5397,0.0152,3.292,2.979262,0.0001,26.8444
appswithlove/loco-android,Kotlin,14,35,25,33,3.5586,7.8428,0.0459,6.9255,2.203917,0.0001,41.9027,19,1.7368,1.3315,1,2.0,0.766613,1,7,24,87.0454,154.2929,40.1999,166.1356,1.772557,0.0005,778.9991,33,3.5586,7.8428,0.0459,6.9255,2.203917,0.0001,41.9027
mattermost-community/mattermost-plugin-aws-SNS,Go,26,65,7,53,20.451,43.8367,2.5159,44.9033,2.143494,0.0002,253.0062,32,1.6562,1.2147,1.0,2.9,0.733426,1,7,6,287.5375,376.9658,107.6158,729.872,1.311014,14.3569,1083.6989,53,20.451,43.8367,2.5159,44.9033,2.143494,0.0002,253.0062
ojvribeiro/vulmix,JavaScript,2,227,12,158,9.7461,28.5223,0.6602,22.7664,2.926535,0.0001,252.0942,18,8.7778,6.7541,6.0,19.3,0.76945,1,22,11,67.4957,119.9988,15.1112,147.1234,1.777874,0.3433,415.0898,158,9.7461,28.5223,0.6602,22.7664,2.926535,0.0001,252.0942
pkshetlie/RagnaCustomsApp,C#,10,31,2,27,8.5001,27.4,0.1884,13.4967,3.223508,0.0005,135.8454,11,2.4545,2.2305,1,7.0,0.908729,1,7,1,199.8008,0.0,199.8008,199.8008,0.0,199.8008,199.8008,27,8.5001,27.4,0.1884,13.4967,3.223508,0.0005,135.8454
eric-volz/DefichainPython,Python,3,96,20,92,0.0301,0.2545,0.0015,0.0111,8.451512,0.0,2.4575,18,5.1111,4.6295,5.0,7.9,0.905768,1,21,19,32.7298,31.2404,19.9643,81.434,0.954494,1.1314,110.0261,92,0.0301,0.2545,0.0015,0.0111,8.451512,0.0,2.4575
haroohie-club/SerialLoops,C#,6,316,74,309,3.9462,16.9542,0.4525,7.6778,4.296381,0.0001,221.6825,23,13.4348,13.0977,10,37.8,0.974911,1,44,73,13.3697,35.2909,1.7931,22.0012,2.639618,0.0109,224.0643,309,3.9462,16.9542,0.4525,7.6778,4.296381,0.0001,221.6825
jupyter/jupyter_events,Python,25,101,15,90,4.4526,10.7712,0.0687,16.274,2.419078,0.0006,56.2758,26,3.4615,3.5108,2.0,8.5,1.01422,1,15,14,64.8228,82.5553,17.6015,177.9091,1.273552,0.1439,273.7953,90,4.4526,10.7712,0.0687,16.274,2.419078,0.0006,56.2758
Apollon77/ioBroker.homekit-controller,TypeScript,18,385,16,59,3.7393,12.4287,0.1417,5.0129,3.323771,0.0001,81.2385,18,3.2778,2.9402,2.0,6.3,0.897025,1,12,15,73.8818,103.3032,4.7067,266.3394,1.398223,0.0192,278.8792,59,3.7393,12.4287,0.1417,5.0129,3.323771,0.0001,81.2385
4paradigm/FeatInsight,Vue,8,48,2,45,2.8125,6.2355,0.0019,5.8848,2.217104,0.0001,29.939,8,5.625,4.0601,4.0,11.6,0.721795,1,13,1,415.8832,0.0,415.8832,415.8832,0.0,415.8832,415.8832,45,2.8125,6.2355,0.0019,5.8848,2.217104,0.0001,29.939
FriendsOfREDAXO/diff_detect,PHP,6,32,14,29,0.2899,0.7782,0.0056,0.9094,2.684178,0.0001,3.2169,5,5.8,5.1923,3,12.2,0.895224,1,15,13,57.3627,163.2802,7.0354,33.3264,2.846452,1.0653,622.0182,29,0.2899,0.7782,0.0056,0.9094,2.684178,0.0001,3.2169
nextcloud/docker-socket-proxy,Python,7,35,14,33,4.9813,22.1004,0.0255,2.5398,4.436678,0.0012,127.6746,13,2.5385,2.2054,2,5.8,0.868804,1,8,13,34.3972,27.0931,26.1822,76.403,0.787654,2.768,95.8946,33,4.9813,22.1004,0.0255,2.5398,4.436678,0.0012,127.6746
spsanderson/healthyR.ts,R,5,355,25,352,0.0048,0.0559,0.0001,0.0001,11.553987,0.0,0.9286,36,9.7778,8.7213,6.5,23.0,0.891955,1,34,24,76.2386,103.6884,52.286,116.5793,1.360051,6.8176,470.0794,352,0.0048,0.0559,0.0001,0.0001,11.553987,0.0,0.9286
Cazka/diepAPI,TypeScript,4,28,14,25,0.6349,2.1969,0.0008,0.8082,3.459974,0.0,10.8425,11,2.2727,1.7104,1,5.0,0.752596,1,6,13,121.6167,270.9957,32.0529,183.6317,2.228278,0.3005,1042.6899,25,0.6349,2.1969,0.0008,0.8082,3.459974,0.0,10.8425
rdfjs/types,TypeScript,26,46,9,34,117.2019,288.2748,4.0907,363.9694,2.459642,0.0011,1163.3876,12,2.8333,1.9076,2.0,5.8,0.673266,1,7,8,165.439,304.743,9.5116,454.4838,1.842026,0.8807,942.8779,34,117.2019,288.2748,4.0907,363.9694,2.459642,0.0011,1163.3876
PaulJohnson/geodetics,Haskell,7,22,3,16,3.835,13.4934,0.2062,1.2246,3.518491,0.0033,56.0702,9,1.7778,1.0304,1,3.2,0.579601,1,4,2,1704.0199,550.0617,1704.0199,2144.0692,0.322802,1153.9582,2254.0816,16,3.835,13.4934,0.2062,1.2246,3.518491,0.0033,56.0702
maxisme/notifi,Dart,5,97,164,59,0.7351,2.5578,0.008,0.8374,3.479277,0.0001,15.3268,12,4.9167,3.5227,3.0,8.9,0.71649,1,12,163,2.2393,7.3667,0.143,4.9039,3.289739,0.0009,55.8158,59,0.7351,2.5578,0.008,0.8374,3.479277,0.0001,15.3268
Herb-AI/Herb.jl,Julia,17,105,12,70,9.6042,22.854,1.0421,26.911,2.379589,0.0008,113.1974,27,2.5926,2.2154,2,4.4,0.85452,1,12,11,79.4441,56.5502,63.0761,150.1085,0.711823,12.5905,188.6151,70,9.6042,22.854,1.0421,26.911,2.379589,0.0008,113.1974
uvdesk/support-center-bundle,Twig,23,162,20,111,9.0584,30.3835,0.3275,22.0097,3.354169,0.0001,241.0758,26,4.2692,4.2748,2.5,11.0,1.001298,1,17,19,113.6305,118.5193,65.3694,258.5202,1.043023,1.8425,510.8579,111,9.0584,30.3835,0.3275,22.0097,3.354169,0.0001,241.0758
nek4life/sfcc-studio,Kotlin,7,127,22,25,5.8811,9.1126,0.2912,23.2232,1.549481,0.0001,23.8974,10,2.5,1.6279,2.0,4.2,0.651153,1,6,21,74.1373,112.4126,21.7507,320.1996,1.516276,0.0715,350.208,25,5.8811,9.1126,0.2912,23.2232,1.549481,0.0001,23.8974
spacepandas/cineaste-ios,Swift,6,172,40,125,9.3188,29.1581,0.9737,21.0082,3.128971,0.0002,218.041,45,2.7778,1.9194,2,5.0,0.69097,1,9,39,48.4132,133.4735,8.0141,97.7181,2.756966,0.0355,803.8276,125,9.3188,29.1581,0.9737,21.0082,3.128971,0.0002,218.041
ccht-ncsu/Kalpana,Python,11,101,12,93,1.7225,14.2523,0.0001,0.0007,8.274313,0.0,137.934,26,3.5769,2.748,3.0,6.5,0.768272,1,11,11,71.1816,118.2636,8.1368,236.1899,1.661436,4.198,379.7441,93,1.7225,14.2523,0.0001,0.0007,8.274313,0.0,137.934
pangaea-data-publisher/pangaeapy,Python,14,46,5,41,7.7019,16.4127,0.7609,22.9906,2.13101,0.0001,57.9111,20,2.05,1.3955,2.0,4.1,0.680746,1,6,4,439.2677,123.3609,434.1557,573.2286,0.280833,292.8534,595.906,41,7.7019,16.4127,0.7609,22.9906,2.13101,0.0001,57.9111
