query_label,repository_name,owner_login,full_name,url,description,topics,created_at,pushed_at,stars,forks,primary_language,issues_total,pull_requests_total,releases_total,contributors_count,rejection_reasons
stars_10_100,ComfyUI-DiffSynth-Studio,AIFSH,AIFSH/ComfyUI-DiffSynth-Studio,https://github.com/AIFSH/ComfyUI-DiffSynth-Studio,make DiffSynth-Studio avialbe in ComfyUI,,2024-06-25T22:21:37Z,2024-08-05T08:48:03Z,100,15,Python,17,2,0,1,contributors_count < 2
stars_10_100,SUPS,jarvishou829,jarvishou829/SUPS,https://github.com/jarvishou829/SUPS,Official paper link and data access of the SUPS dataset.,autonomous-driving | autonomous-vehicles | lidar | semantic-segmentation | slam,2022-03-21T13:56:30Z,2023-04-20T00:53:28Z,100,10,,20,0,0,1,contributors_count < 2
stars_10_100,mmkv_flutter,OpenFlutter,OpenFlutter/mmkv_flutter,https://github.com/OpenFlutter/mmkv_flutter,get or set persistent storage value based on MMKV framework.,,2018-09-28T14:44:59Z,2020-10-10T05:29:47Z,100,10,Dart,3,1,0,1,contributors_count < 2
stars_10_100,planets-animated-website,TheDesignMedium,TheDesignMedium/planets-animated-website,https://github.com/TheDesignMedium/planets-animated-website,"Animated Website using HTML, CSS and Parallax.js",,2020-10-17T09:44:34Z,2024-06-13T19:43:46Z,100,73,HTML,0,1,0,1,contributors_count < 2
stars_10_100,Mem4Nav,tsinghua-fib-lab,tsinghua-fib-lab/Mem4Nav,https://github.com/tsinghua-fib-lab/Mem4Nav,Mem4Nav: Boosting Vision-and-Language Navigation in Urban Environments with a Hierarchical Spatial-Cognition Long-Short Memory System,,2025-06-25T02:49:50Z,2025-08-10T06:36:00Z,100,11,Python,1,0,1,1,contributors_count < 2
stars_10_100,postsync,xiaofengsoft,xiaofengsoft/postsync,https://github.com/xiaofengsoft/postsync,PostSync是一款开源的跨平台文章同步工具，可以同步你的文章到多个平台。 一次编写，多处同步，同时上传标签，分类，栏目，封面等参数。,,2024-09-05T08:04:19Z,2025-02-17T05:09:49Z,100,9,Python,0,0,2,1,contributors_count < 2
stars_10_100,HAKE-Action,DirtyHarryLYL,DirtyHarryLYL/HAKE-Action,https://github.com/DirtyHarryLYL/HAKE-Action,"As a part of the HAKE project, includes the reproduced SOTA models and the corresponding HAKE-enhanced versions (CVPR2020).",human-computer-interaction | action-recognition | activity-recognition,2020-03-07T08:55:01Z,2023-01-05T01:21:58Z,100,13,,82,3,0,1,contributors_count < 2
stars_10_100,AspNetCoreDemoApp,jincod,jincod/AspNetCoreDemoApp,https://github.com/jincod/AspNetCoreDemoApp,ASP.NET Core demo app with webpack bundle,aspnetcore | heroku | webpack | buildpack,2015-09-23T08:12:30Z,2023-04-25T13:17:08Z,100,93,C#,5,2,0,1,contributors_count < 2
stars_10_100,nannernest,EthanRosenthal,EthanRosenthal/nannernest,https://github.com/EthanRosenthal/nannernest,Optimal peanut butter and banana sandwiches,machine-learning | computer-vision | sandwiches | deep-learning,2020-05-22T14:35:37Z,2023-07-23T17:51:57Z,100,3,Python,1,14,0,1,contributors_count < 2
stars_10_100,robotstxt,Folyd,Folyd/robotstxt,https://github.com/Folyd/robotstxt,A native Rust port of Google's robots.txt parser and matcher C++ library.,robotstxt | google-robots-parser | rust,2020-04-02T03:36:39Z,2021-02-13T07:56:55Z,100,13,Rust,5,0,0,1,contributors_count < 2
